char,total_strokes,radical,meaning,category,components,all_radicals
蟖,18,142.12,the larva of a month; a grasshopper,Both,"('虫', '斯')","['虫', '八', '斤', '一', '甘']"
蛗,12,142.6,"a grasshopper, locust",Both,"('𠂤', '虫')","['丶', '虫', '己']"
蛅,11,142.5,a caterpillar,Both,"('虫', '占')","['虫', '卜', '口']"
蚝,10,142.4,oyster; hairy and poisonous caterpillars,Both,"('虫', '毛')","['毛', '虫']"
蜝,14,142.8,"a kind of crab; worm, leech",Both,"('其', '虫')","['一', '甘', '八', '虫']"
蟭,18,142.12,very small bug,Both,"('虫', '焦')","['火', '隹', '虫']"
蛆,11,142.5,maggots,Both,"('虫', '且')","['月', '一', '虫']"
螻,17,142.11,"a mole cricket, Gryllotalpa orientalis",Traditional,"('虫', '婁')","['女', '十', '虫', '口']"
蝛,15,142.9,"the sow-bug, wood-louse",Both,"('虫', '威')","['女', '虫', '厂', '戈', '一']"
蠟,21,142.15,"wax; candle; waxy, glazed",Traditional,"('虫', '巤')","['丿', '虫', '囗', '川', '冫']"
蠼,26,142.20,earwig,Both,"('虫', '矍')","['目', '隹', '又', '虫']"
螢,16,142.10,"glowworm, luminous insect",Traditional,"('炏', '虫')","['冖', '火', '虫']"
螉,16,142.10,wasp,Both,"('虫', '翁')","['厶', '羽', '虫', '八']"
螘,16,142.10,ant,Traditional,"('虫', '豈')","['豆', '虫', '山']"
蜿,14,142.8,"creep, crawl",Both,"('虫', '宛')","['宀', '虫', '乙', '夕']"
蛩,12,142.6,"cricket, locust; anxious",Both,"('巩', '虫')","['几', '虫', '丶', '工']"
蚺,11,142.5,a boa constrictor,Both,"('虫', '冉')","['土', '虫', '冂']"
蟈,17,142.11,small green frog; cicada,Traditional,"('虫', '國')","['虫', '囗', '戈', '一', '口']"
蜷,14,142.8,creep like a worm; curl one's body,Both,"('虫', '卷')","['二', '虫', '八', '丨', '乙']"
蝱,15,142.9,"horsefly, gadfly",Both,"('亡', '䖵')","['丶', '匸', '虫']"
螬,17,142.11,grubs in fruit,Both,"('虫', '曹')","['二', '凵', '虫', '日', '艸']"
蟹,19,142.13,crab,Both,"('解', '虫')","['牛', '角', '刀', '虫']"
蚘,10,142.4,tapeworm,Both,"('虫', '尤')","['丶', '虫', '尢']"
蚡,10,142.4,mole,Both,"('虫', '分')","['刀', '虫', '八']"
蜘,14,142.8,spider,Both,"('虫', '知')","['虫', '口', '矢']"
蠢,21,142.15,wriggle; stupid; silly; fat,Both,"('春', '䖵')","['二', '八', '虫', '丨', '日', '一']"
蠻,25,142.19,"barbarians; barbarous, savage",Traditional,"('䜌', '虫')","['虫', '糸', '言']"
虮,8,142.2,"louse eggs, nits",Simplified,"('虫', '几')","['几', '虫']"
蜹,13,142.8,"gnat, mosquito",Both,"('虫', '芮')","['人', '虫', '艸', '冂']"
蚁,9,142.3,ants,Both,"('虫', '义')","['丿', '丶', '虫']"
蜩,14,142.8,"cicada, broad locust",Both,"('虫', '周')","['口', '虫', '田']"
蠑,20,142.14,lizard,Traditional,"('虫', '榮')","['冖', '火', '虫', '木']"
